Designator,Footprint,Quantity,Value,LCSC Part #,MFR Part #,Description
"D13, D14",SOD-123,2,MMSZ5247BT1G,C236089,MMSZ5247BT1G,±5% Single 16.15V~17.85V 500mW 17V SOD-123 Zener Diodes ROHS
"D3, D4",SOD-323,2,MM3Z5V1ST1G,"C236206",MM3Z5V1ST1G,±2% Single 4.98V~5.2V 300mW 5.1V SOD-323 Zener Diodes ROHS
"Q5, Q6",SOT-23(TO-236),2,BSS138,C358381,BSS138,"50V 220mA 3.5Ω@10V,220mA 360mW N Channel SOT-23(TO-236) MOSFETs ROHS"
"R1, R2, R35, R38, R39, R49, R50, R9",603,8,0,C269698,RMC060301%N,100mW 1% 0Ω 0603 Chip Resistor - Surface Mount ROHS
R10,603,1,0,C269698,RMC060301%N,100mW 1% 0Ω 0603 Chip Resistor - Surface Mount ROHS
R11,1206,1,10k,C104595,RTT061002FTP,250mW ±100ppm/℃ ±1% 10kΩ 1206 Chip Resistor - Surface Mount ROHS
R12,1206,1,51K,C319552,AR06DTDV5102,250mW Thin Film Resistor ±0.5% ±50ppm/℃ 51kΩ 1206 Chip Resistor - Surface Mount ROHS
R13,2512,1,25m 1%,C2903480,HoJLR2512-3W-25mR-1%,3W 25mΩ 2512 Current Sense Resistors/Shunt Resistors ROHS
"R14, R15",1206,2,100 1%,C409744,AR06FTCV1000,250mW Thin Film Resistor ±25ppm/℃ ±1% 100Ω 1206 Chip Resistor - Surface Mount ROHS
"R16, R29",603,2,1k,C100050,"RC0603DR-071KL",100mW Thick Film Resistors ±100ppm/℃ ±0.5% 1kΩ 0603 Chip Resistor - Surface Mount ROHS
R17,1206,1,30K,C171081,WR12X3002FTL,250mW Thick Film Resistors ±100ppm/℃ ±1% 30kΩ 1206 Chip Resistor - Surface Mount ROHS
R18,1206,1,47.5K 1%,C319618,AR06BTDV4752,250mW Thin Film Resistor ±50ppm/℃ ±0.1% 47.5kΩ 1206 Chip Resistor - Surface Mount ROHS
R20,1206,1,12.4K 1%,C139133,1206W4F1242T5E,250mW Thick Film Resistors ±100ppm/℃ ±1% 12.4kΩ 1206 Chip Resistor - Surface Mount ROHS
R21,1206,1,8.06K 1%,C323152,RS-06K8061FT,250mW ±100ppm/℃ ±1% 8.06kΩ 1206 Chip Resistor - Surface Mount ROHS
"R25, R26",1206,2,0,C2907363,FRC1206F0000TS,250mW Thick Film Resistors ±1% 0Ω 1206 Chip Resistor - Surface Mount ROHS
R27,1206,1,1,C2960691,FRC1206F1R05TS,250mW Thick Film Resistors ±1% ±200ppm/℃ 1.05Ω 1206 Chip Resistor - Surface Mount ROHS
"R28, R31",1206,2,10,C2933578,FRC1206F10R5TS,250mW Thick Film Resistors ±100ppm/℃ ±1% 10.5Ω 1206 Chip Resistor - Surface Mount ROHS
R30,603,1,"8.87k
",C2998144,FRC0603F8871TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 8.87kΩ 0603 Chip Resistor - Surface Mount ROHS
"R36, R37, R40, R41",603,4,10K,C191124,ERJ3EKF1002V,100mW Thick Film Resistors ±100ppm/℃ ±1% 10000Ω 0603 Chip Resistor - Surface Mount ROHS
"R42, R43, R44, R54, R55, R7, R8",603,7,4.7K,C103656,RTT034701FTP,100mW Thick Film Resistors ±100ppm/℃ ±1% 4.7kΩ 0603 Chip Resistor - Surface Mount ROHS
"R45, R46",1206,2,1.2M,C323198,RS-06L1204FT,250mW ±1% ±250ppm/℃ 1.2MΩ 1206 Chip Resistor - Surface Mount ROHS
"R47, R48",1206,2,510K,C2114457,AA1206FR-07510KL,250mW Thick Film Resistors ±1% ±150ppm/℃ 510kΩ 1206 Chip Resistor - Surface Mount ROHS
R6,603,1,150k,C319876,AR03BTCX1503,100mW Thin Film Resistor ±25ppm/℃ ±0.1% 150kΩ 0603 Chip Resistor - Surface Mount ROHS
RBLUE1,603,1,150 Blue,C3017754,SCR0603J150R,±5% 150Ω 0603 Chip Resistor - Surface Mount ROHS
RGREEN1,603,1,150 Green,C3017754,SCR0603J150R,±5% 150Ω 0603 Chip Resistor - Surface Mount ROHS
RRED1,603,1,100 RED,C2906981,FRC0603F1000TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 100Ω 0603 Chip Resistor - Surface Mount ROHS
SW1,SW_SPST_TL3305A,1,RST,C2886899,TL3305AF160QG,NO 50mA 100MΩ 500000 Times 12V 160gf Brick nogging SPST - Tactile Switches ROHS
SW2,SW_SPST_TL3305A,1,Display Button,C2886899,TL3305AF160QG,NO 50mA 100MΩ 500000 Times 12V 160gf Brick nogging SPST - Tactile Switches ROHS
"U10, U11",TSOT-5L,2,ADR02AUJZ-REEL7,C141936,ADR02AUJZ-REEL7,5V ±0.1% 7V~36V 10mA Fixed SOT-23-5 Voltage References ROHS
"U12, U13",SOT-223-4,2,LM340MPX-5.0/NOPB,C2860024,LM340MPX-5.0/NOPB,70dB@(120Hz) 1.5A null 5V positive 35V SOT-223-4 Linear Voltage Regulators (LDO) ROHS
"U20, U21",SOP-8,2,UA741CDT,C7111,UA741CDT,10nA 1 1MHz SOP-8 Operational Amplifier ROHS
